  ELAPSED TIME: 2:33:35.739054 Simulations Completed

WRITTEN: 2017-07-07:

  RANDOM SEED = 0xeaae73c8 = 3,937,301,448
alpha(0.05) method(fdr_bh)
SETTINGS AND GO-DAG VERSION:
    Multitest Params: alpha(0.05) method(fdr_bh)
    GO-DAG version:   go-basic.obo: fmt(1.2) rel(2017-06-30) 48,928 GO Terms

ASSOCIATION INFORMATION:
    GOC Validation Date: 05/19/2017 $
    Submission Date: 5/19/2017
    gaf-version: 2.0
    Project_name: Mouse Genome Informatics (MGI)
    URL: http://www.informatics.jax.org/
    Contact Email: mgi-help@jax.org
    Funding: NHGRI of US National Institutes of Health
    software version: $Revision$
    date: 05/18/2017 $

18,647 GENES  IN ASSOCIATION
17,276 GO IDs IN ASSOCIATION
18,647 GENES  IN POPULATION
22,025 population genes (user)
18,647 population genes in assc.
   85% population genes coverage in assc.
   124 study genes (user)
   124 study genes in assc.
16,305 population genes - study buffer

TITLE: Orig Assc: NTN Orig
SIMULATION PARAMETERS:
    randomize_truenull_assc orig_noprune_ntn1
    perc_nulls      [100, 75, 50, 25, 0]
    num_genes_list  [4, 16, 64, 124]
    num_experiments 20
    num_sims        20


Summary of mean values and standard errors  for 20 sets of experiments

nul% #tests          fdr_actual         sensitivity         specificity        pos_pred_val        neg_pred_val
---- ------ ------------------- ------------------- ------------------- ------------------- -------------------
100%     4 0.0075 +/-0.000000 0.0000 +/-0.000000 0.9956 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%    16 0.0025 +/-0.000000 0.0000 +/-0.000000 0.9997 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%    64 0.0025 +/-0.000000 0.0000 +/-0.000000 0.9998 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%   124 0.0025 +/-0.000000 0.0000 +/-0.000000 0.9999 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
 75%     4 0.0000 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 0.7500 +/-0.000000 
 75%    16 0.0044 +/-0.000000 0.1413 +/-0.000000 0.9992 +/-0.000000 0.1756 +/-0.000000 0.7833 +/-0.000000 
 75%    64 0.0584 +/-0.000000 0.8655 +/-0.000000 0.9765 +/-0.000000 0.9416 +/-0.000000 0.9582 +/-0.000000 
 75%   124 0.1608 +/-0.000000 0.9824 +/-0.000000 0.9330 +/-0.000000 0.8392 +/-0.000000 0.9939 +/-0.000000 
 50%     4 0.0029 +/-0.000000 0.0325 +/-0.000000 0.9963 +/-0.000000 0.0321 +/-0.000000 0.5138 +/-0.000000 
 50%    16 0.0245 +/-0.000000 0.6662 +/-0.000000 0.9738 +/-0.000000 0.8630 +/-0.000000 0.7857 +/-0.000000 
 50%    64 0.0913 +/-0.000000 0.9931 +/-0.000000 0.8966 +/-0.000000 0.9087 +/-0.000000 0.9926 +/-0.000000 
 50%   124 0.1122 +/-0.000000 0.9986 +/-0.000000 0.8696 +/-0.000000 0.8878 +/-0.000000 0.9984 +/-0.000000 
 25%     4 0.0000 +/-0.000000 0.1483 +/-0.000000 1.0000 +/-0.000000 0.1675 +/-0.000000 0.3469 +/-0.000000 
 25%    16 0.0241 +/-0.000000 0.9596 +/-0.000000 0.9206 +/-0.000000 0.9759 +/-0.000000 0.9128 +/-0.000000 
 25%    64 0.0494 +/-0.000000 0.9987 +/-0.000000 0.8400 +/-0.000000 0.9506 +/-0.000000 0.9958 +/-0.000000 
 25%   124 0.0826 +/-0.000000 0.9999 +/-0.000000 0.7248 +/-0.000000 0.9174 +/-0.000000 0.9998 +/-0.000000 
  0%     4 0.0000 +/-0.000000 0.3969 +/-0.000000 0.0000 +/-0.000000 0.5050 +/-0.000000 0.0000 +/-0.000000 
  0%    16 0.0000 +/-0.000000 0.9884 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 
  0%    64 0.0000 +/-0.000000 0.9996 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 
  0%   124 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 


fdr_actual statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0075 | 0.0183
100% 0.050    16 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
100% 0.050    64 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
100% 0.050   124 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
 75% 0.038     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038    16 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0044 | 0.0124
 75% 0.038    64 |            20 | 0.0179 to 0.1057     |          0.0438 |   0.0637 |          0.0707 |   0.0584 | 0.0228
 75% 0.038   124 |            20 | 0.1340 to 0.2213     |          0.1458 |   0.1546 |          0.1748 |   0.1608 | 0.0218
 50% 0.025     4 |            20 | 0.0000 to 0.0333     |          0.0000 |   0.0000 |          0.0000 |   0.0029 | 0.0091
 50% 0.025    16 |            20 | 0.0000 to 0.0579     |          0.0174 |   0.0231 |          0.0332 |   0.0245 | 0.0145
 50% 0.025    64 |            20 | 0.0673 to 0.1195     |          0.0848 |   0.0884 |          0.1009 |   0.0913 | 0.0128
 50% 0.025   124 |            20 | 0.0930 to 0.1274     |          0.1025 |   0.1163 |          0.1209 |   0.1122 | 0.0109
 25% 0.013     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 25% 0.013    16 |            20 | 0.0119 to 0.0522     |          0.0174 |   0.0209 |          0.0275 |   0.0241 | 0.0108
 25% 0.013    64 |            20 | 0.0323 to 0.0657     |          0.0441 |   0.0504 |          0.0529 |   0.0494 | 0.0075
 25% 0.013   124 |            20 | 0.0697 to 0.0943     |          0.0761 |   0.0815 |          0.0896 |   0.0826 | 0.0078
  0% 0.000     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000

sensitivity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038    16 |            20 | 0.0000 to 0.3125     |          0.0844 |   0.1375 |          0.1875 |   0.1413 | 0.0798
 75% 0.038    64 |            20 | 0.8281 to 0.9125     |          0.8469 |   0.8656 |          0.8820 |   0.8655 | 0.0231
 75% 0.038   124 |            20 | 0.9677 to 0.9935     |          0.9790 |   0.9831 |          0.9855 |   0.9824 | 0.0055
 50% 0.025     4 |            20 | 0.0000 to 0.1500     |          0.0000 |   0.0000 |          0.0500 |   0.0325 | 0.0430
 50% 0.025    16 |            20 | 0.5625 to 0.7625     |          0.6281 |   0.6594 |          0.7125 |   0.6662 | 0.0653
 50% 0.025    64 |            20 | 0.9859 to 0.9984     |          0.9906 |   0.9938 |          0.9953 |   0.9931 | 0.0033
 50% 0.025   124 |            20 | 0.9968 to 1.0000     |          0.9984 |   0.9984 |          0.9992 |   0.9986 | 0.0010
 25% 0.013     4 |            20 | 0.0500 to 0.2500     |          0.0833 |   0.1417 |          0.1708 |   0.1483 | 0.0616
 25% 0.013    16 |            20 | 0.9125 to 0.9833     |          0.9500 |   0.9604 |          0.9688 |   0.9596 | 0.0167
 25% 0.013    64 |            20 | 0.9969 to 1.0000     |          0.9979 |   0.9990 |          0.9992 |   0.9987 | 0.0010
 25% 0.013   124 |            20 | 0.9995 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9999 | 0.0002
  0% 0.000     4 |            20 | 0.1750 to 0.5875     |          0.3344 |   0.4062 |          0.4563 |   0.3969 | 0.0990
  0% 0.000    16 |            20 | 0.9781 to 1.0000     |          0.9836 |   0.9875 |          0.9914 |   0.9884 | 0.0063
  0% 0.000    64 |            20 | 0.9984 to 1.0000     |          0.9992 |   1.0000 |          1.0000 |   0.9996 | 0.0005
  0% 0.000   124 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000

specificity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.9625 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9956 | 0.0109
100% 0.050    16 |            20 | 0.9938 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9997 | 0.0014
100% 0.050    64 |            20 | 0.9953 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9998 | 0.0010
100% 0.050   124 |            20 | 0.9988 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9999 | 0.0003
 75% 0.038     4 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
 75% 0.038    16 |            20 | 0.9917 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9992 | 0.0022
 75% 0.038    64 |            20 | 0.9531 to 0.9938     |          0.9716 |   0.9745 |          0.9833 |   0.9765 | 0.0099
 75% 0.038   124 |            20 | 0.9032 to 0.9457     |          0.9265 |   0.9368 |          0.9402 |   0.9330 | 0.0105
 50% 0.025     4 |            20 | 0.9500 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9963 | 0.0122
 50% 0.025    16 |            20 | 0.9375 to 1.0000     |          0.9672 |   0.9750 |          0.9812 |   0.9738 | 0.0159
 50% 0.025    64 |            20 | 0.8609 to 0.9266     |          0.8867 |   0.9000 |          0.9051 |   0.8966 | 0.0159
 50% 0.025   124 |            20 | 0.8500 to 0.8944     |          0.8581 |   0.8637 |          0.8835 |   0.8696 | 0.0142
 25% 0.013     4 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
 25% 0.013    16 |            20 | 0.8250 to 0.9625     |          0.9094 |   0.9313 |          0.9406 |   0.9206 | 0.0366
 25% 0.013    64 |            20 | 0.7844 to 0.8969     |          0.8273 |   0.8375 |          0.8570 |   0.8400 | 0.0252
 25% 0.013   124 |            20 | 0.6806 to 0.7710     |          0.7000 |   0.7290 |          0.7468 |   0.7248 | 0.0285
  0% 0.000     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000

pos_pred_val statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038    16 |            20 | 0.0000 to 0.4000     |          0.1000 |   0.1750 |          0.2500 |   0.1756 | 0.0974
 75% 0.038    64 |            20 | 0.8943 to 0.9821     |          0.9293 |   0.9363 |          0.9562 |   0.9416 | 0.0228
 75% 0.038   124 |            20 | 0.7787 to 0.8660     |          0.8252 |   0.8454 |          0.8542 |   0.8392 | 0.0218
 50% 0.025     4 |            20 | 0.0000 to 0.1500     |          0.0000 |   0.0000 |          0.0500 |   0.0321 | 0.0426
 50% 0.025    16 |            20 | 0.7121 to 0.9812     |          0.8202 |   0.8795 |          0.9147 |   0.8630 | 0.0710
 50% 0.025    64 |            20 | 0.8805 to 0.9327     |          0.8991 |   0.9116 |          0.9152 |   0.9087 | 0.0128
 50% 0.025   124 |            20 | 0.8726 to 0.9070     |          0.8791 |   0.8837 |          0.8975 |   0.8878 | 0.0109
 25% 0.013     4 |            20 | 0.0500 to 0.3000     |          0.1000 |   0.1500 |          0.2000 |   0.1675 | 0.0654
 25% 0.013    16 |            20 | 0.9478 to 0.9881     |          0.9725 |   0.9791 |          0.9826 |   0.9759 | 0.0108
 25% 0.013    64 |            20 | 0.9343 to 0.9677     |          0.9471 |   0.9496 |          0.9559 |   0.9506 | 0.0075
 25% 0.013   124 |            20 | 0.9057 to 0.9303     |          0.9104 |   0.9185 |          0.9239 |   0.9174 | 0.0078
  0% 0.000     4 |            20 | 0.2500 to 0.7000     |          0.4375 |   0.5250 |          0.5625 |   0.5050 | 0.1146
  0% 0.000    16 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
  0% 0.000    64 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
  0% 0.000   124 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000

neg_pred_val statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050    16 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050    64 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050   124 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
 75% 0.038     4 |            20 | 0.7500 to 0.7500     |          0.7500 |   0.7500 |          0.7500 |   0.7500 | 0.0000
 75% 0.038    16 |            20 | 0.7482 to 0.8236     |          0.7702 |   0.7822 |          0.7944 |   0.7833 | 0.0193
 75% 0.038    64 |            20 | 0.9477 to 0.9728     |          0.9529 |   0.9577 |          0.9629 |   0.9582 | 0.0069
 75% 0.038   124 |            20 | 0.9891 to 0.9976     |          0.9928 |   0.9941 |          0.9949 |   0.9939 | 0.0019
 50% 0.025     4 |            20 | 0.5000 to 0.5750     |          0.5000 |   0.5000 |          0.5250 |   0.5138 | 0.0206
 50% 0.025    16 |            20 | 0.7295 to 0.8393     |          0.7622 |   0.7837 |          0.8120 |   0.7857 | 0.0341
 50% 0.025    64 |            20 | 0.9855 to 0.9982     |          0.9902 |   0.9930 |          0.9949 |   0.9926 | 0.0034
 50% 0.025   124 |            20 | 0.9963 to 1.0000     |          0.9980 |   0.9982 |          0.9992 |   0.9984 | 0.0011
 25% 0.013     4 |            20 | 0.2875 to 0.4375     |          0.3000 |   0.3375 |          0.3656 |   0.3469 | 0.0459
 25% 0.013    16 |            20 | 0.8571 to 0.9633     |          0.8919 |   0.9096 |          0.9344 |   0.9128 | 0.0291
 25% 0.013    64 |            20 | 0.9891 to 1.0000     |          0.9937 |   0.9960 |          0.9978 |   0.9958 | 0.0032
 25% 0.013   124 |            20 | 0.9980 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9998 | 0.0006
  0% 0.000     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  ELAPSED TIME: 2:33:38.988350 Simulations complete. Reports and plots generated.
