  ELAPSED TIME: 1:56:36.064087 Simulations Completed

WRITTEN: 2017-06-29:

  RANDOM SEED = 0x09d466bf = 164,914,879
alpha(0.05) method(fdr_bh)
SETTINGS AND GO-DAG VERSION:
    Multitest Params: alpha(0.05) method(fdr_bh)
    GO-DAG version:   go-basic.obo: fmt(1.2) rel(2017-05-20) 48,661 GO Terms

ASSOCIATION INFORMATION:
    GOC Validation Date: 05/19/2017 $
    Submission Date: 5/19/2017
    gaf-version: 2.0
    Project_name: Mouse Genome Informatics (MGI)
    URL: http://www.informatics.jax.org/
    Contact Email: mgi-help@jax.org
    Funding: NHGRI of US National Institutes of Health
    software version: $Revision$
    date: 05/18/2017 $

18,651 GENES  IN ASSOCIATION
17,278 GO IDs IN ASSOCIATION
18,651 GENES  IN POPULATION
22,045 population genes (user)
18,651 population genes in assc.
   85% population genes coverage in assc.
   124 study genes (user)
   124 study genes in assc.
16,308 population genes - study buffer

SIMULATION PARAMETERS:
    randomize_truenull_assc orig_ntn1
    perc_nulls      [100, 75, 50, 25, 0]
    num_genes_list  [4, 16, 64, 124]
    num_experiments 20
    num_sims        20


Summary of mean values and standard errors  for 20 sets of experiments

nul% #tests          fdr_actual         sensitivity         specificity        pos_pred_val        neg_pred_val
---- ------ ------------------- ------------------- ------------------- ------------------- -------------------
100%     4 0.0025 +/-0.000000 0.0000 +/-0.000000 0.9988 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%    16 0.0100 +/-0.000000 0.0000 +/-0.000000 0.9984 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%    64 0.0025 +/-0.000000 0.0000 +/-0.000000 0.9999 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%   124 0.0025 +/-0.000000 0.0000 +/-0.000000 0.9994 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
 75%     4 0.0013 +/-0.000000 0.0025 +/-0.000000 0.9992 +/-0.000000 0.0013 +/-0.000000 0.7506 +/-0.000000 
 75%    16 0.0028 +/-0.000000 0.1281 +/-0.000000 0.9992 +/-0.000000 0.1597 +/-0.000000 0.7802 +/-0.000000 
 75%    64 0.0524 +/-0.000000 0.8655 +/-0.000000 0.9782 +/-0.000000 0.9476 +/-0.000000 0.9585 +/-0.000000 
 75%   124 0.1493 +/-0.000000 0.9823 +/-0.000000 0.9378 +/-0.000000 0.8507 +/-0.000000 0.9939 +/-0.000000 
 50%     4 0.0017 +/-0.000000 0.0300 +/-0.000000 0.9975 +/-0.000000 0.0283 +/-0.000000 0.5150 +/-0.000000 
 50%    16 0.0208 +/-0.000000 0.6684 +/-0.000000 0.9766 +/-0.000000 0.8867 +/-0.000000 0.7857 +/-0.000000 
 50%    64 0.0939 +/-0.000000 0.9930 +/-0.000000 0.8928 +/-0.000000 0.9061 +/-0.000000 0.9925 +/-0.000000 
 50%   124 0.1110 +/-0.000000 0.9989 +/-0.000000 0.8712 +/-0.000000 0.8890 +/-0.000000 0.9988 +/-0.000000 
 25%     4 0.0006 +/-0.000000 0.1325 +/-0.000000 0.9975 +/-0.000000 0.1569 +/-0.000000 0.3281 +/-0.000000 
 25%    16 0.0206 +/-0.000000 0.9627 +/-0.000000 0.9338 +/-0.000000 0.9794 +/-0.000000 0.9179 +/-0.000000 
 25%    64 0.0471 +/-0.000000 0.9983 +/-0.000000 0.8478 +/-0.000000 0.9529 +/-0.000000 0.9945 +/-0.000000 
 25%   124 0.0798 +/-0.000000 1.0000 +/-0.000000 0.7343 +/-0.000000 0.9202 +/-0.000000 1.0000 +/-0.000000 
  0%     4 0.0000 +/-0.000000 0.3588 +/-0.000000 0.0000 +/-0.000000 0.4500 +/-0.000000 0.0000 +/-0.000000 
  0%    16 0.0000 +/-0.000000 0.9897 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 
  0%    64 0.0000 +/-0.000000 0.9997 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 
  0%   124 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 0.0000 +/-0.000000 


fdr_actual statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
100% 0.050    16 |            20 | 0.0000 to 0.1000     |          0.0000 |   0.0000 |          0.0000 |   0.0100 | 0.0262
100% 0.050    64 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
100% 0.050   124 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
 75% 0.038     4 |            20 | 0.0000 to 0.0250     |          0.0000 |   0.0000 |          0.0000 |   0.0013 | 0.0056
 75% 0.038    16 |            20 | 0.0000 to 0.0333     |          0.0000 |   0.0000 |          0.0000 |   0.0028 | 0.0080
 75% 0.038    64 |            20 | 0.0033 to 0.0874     |          0.0420 |   0.0544 |          0.0700 |   0.0524 | 0.0220
 75% 0.038   124 |            20 | 0.1158 to 0.1893     |          0.1311 |   0.1460 |          0.1654 |   0.1493 | 0.0208
 50% 0.025     4 |            20 | 0.0000 to 0.0167     |          0.0000 |   0.0000 |          0.0000 |   0.0017 | 0.0051
 50% 0.025    16 |            20 | 0.0000 to 0.0646     |          0.0089 |   0.0206 |          0.0285 |   0.0208 | 0.0162
 50% 0.025    64 |            20 | 0.0803 to 0.1134     |          0.0877 |   0.0924 |          0.1003 |   0.0939 | 0.0084
 50% 0.025   124 |            20 | 0.0863 to 0.1285     |          0.1060 |   0.1113 |          0.1180 |   0.1110 | 0.0105
 25% 0.013     4 |            20 | 0.0000 to 0.0125     |          0.0000 |   0.0000 |          0.0000 |   0.0006 | 0.0028
 25% 0.013    16 |            20 | 0.0038 to 0.0272     |          0.0159 |   0.0233 |          0.0248 |   0.0206 | 0.0063
 25% 0.013    64 |            20 | 0.0389 to 0.0608     |          0.0433 |   0.0463 |          0.0503 |   0.0471 | 0.0058
 25% 0.013   124 |            20 | 0.0685 to 0.0973     |          0.0737 |   0.0804 |          0.0848 |   0.0798 | 0.0079
  0% 0.000     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000

sensitivity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038     4 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
 75% 0.038    16 |            20 | 0.0500 to 0.2750     |          0.0750 |   0.1250 |          0.1625 |   0.1281 | 0.0600
 75% 0.038    64 |            20 | 0.8125 to 0.9250     |          0.8570 |   0.8625 |          0.8852 |   0.8655 | 0.0269
 75% 0.038   124 |            20 | 0.9726 to 0.9887     |          0.9802 |   0.9823 |          0.9859 |   0.9823 | 0.0046
 50% 0.025     4 |            20 | 0.0000 to 0.1500     |          0.0000 |   0.0000 |          0.0500 |   0.0300 | 0.0441
 50% 0.025    16 |            20 | 0.4813 to 0.8125     |          0.6094 |   0.6750 |          0.7406 |   0.6684 | 0.0863
 50% 0.025    64 |            20 | 0.9875 to 0.9984     |          0.9902 |   0.9938 |          0.9953 |   0.9930 | 0.0030
 50% 0.025   124 |            20 | 0.9976 to 1.0000     |          0.9984 |   0.9992 |          0.9992 |   0.9989 | 0.0008
 25% 0.013     4 |            20 | 0.0333 to 0.2500     |          0.0875 |   0.1333 |          0.1875 |   0.1325 | 0.0702
 25% 0.013    16 |            20 | 0.9375 to 0.9833     |          0.9531 |   0.9583 |          0.9750 |   0.9627 | 0.0133
 25% 0.013    64 |            20 | 0.9948 to 1.0000     |          0.9979 |   0.9990 |          0.9992 |   0.9983 | 0.0016
 25% 0.013   124 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
  0% 0.000     4 |            20 | 0.2000 to 0.5625     |          0.2563 |   0.3688 |          0.4406 |   0.3588 | 0.1171
  0% 0.000    16 |            20 | 0.9781 to 0.9969     |          0.9867 |   0.9906 |          0.9938 |   0.9897 | 0.0052
