  ELAPSED TIME: 0:00:58.933374 Simulations Completed
num_sims         200
max_sigpvals     [0.01, 0.03, 0.05]
multi_params     {'alpha': 0.05, 'method': 'fdr_bh'}
perc_nulls       [100, 75, 50, 25]
seed             None
num_experiments  20
num_hypoths_list [4, 16, 128]
  RANDOM SEED = 0x782c23fe = 2,016,158,718

Summary of mean values and standard errors:

nul% maxSig #tests          fdr_actual         sensitivity         specificity        pos_pred_val        neg_pred_val
---- ------ ------ ------------------- ------------------- ------------------- ------------------- -------------------
100%  0.010      4     0.0503 +/-0.029     0.0000 +/-0.000     0.9863 +/-0.012     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.010     16     0.0508 +/-0.023     0.0000 +/-0.000     0.9966 +/-0.003     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.010    128     0.0553 +/-0.028     0.0000 +/-0.000     0.9995 +/-0.000     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.030      4     0.0512 +/-0.031     0.0000 +/-0.000     0.9861 +/-0.010     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.030     16     0.0523 +/-0.027     0.0000 +/-0.000     0.9964 +/-0.003     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.030    128     0.0470 +/-0.030     0.0000 +/-0.000     0.9996 +/-0.000     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.050      4     0.0508 +/-0.024     0.0000 +/-0.000     0.9862 +/-0.010     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.050     16     0.0513 +/-0.029     0.0000 +/-0.000     0.9964 +/-0.004     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.050    128     0.0473 +/-0.027     0.0000 +/-0.000     0.9996 +/-0.000     0.0000 +/-0.000     1.0000 +/-0.000 
 75%  0.010      4     0.0368 +/-0.017     1.0000 +/-0.000     0.9742 +/-0.015     0.9632 +/-0.017     0.9998 +/-0.015 
 75%  0.010     16     0.0372 +/-0.005     1.0000 +/-0.000     0.9838 +/-0.003     0.9628 +/-0.005     1.0000 +/-0.000 
 75%  0.010    128     0.0373 +/-0.002     1.0000 +/-0.000     0.9867 +/-0.001     0.9627 +/-0.002     1.0000 +/-0.000 
 75%  0.030      4     0.0347 +/-0.024     0.4430 +/-0.003     0.9773 +/-0.017     0.4123 +/-0.007     0.8604 +/-0.001 
 75%  0.030     16     0.0399 +/-0.027     0.2161 +/-0.016     0.9918 +/-0.003     0.4246 +/-0.005     0.7972 +/-0.005 
 75%  0.030    128     0.0358 +/-0.026     0.0405 +/-0.005     0.9988 +/-0.001     0.4122 +/-0.008     0.7577 +/-0.001 
 75%  0.050      4     0.0391 +/-0.027     0.2730 +/-0.014     0.9790 +/-0.014     0.2516 +/-0.017     0.8168 +/-0.003 
 75%  0.050     16     0.0376 +/-0.030     0.1003 +/-0.021     0.9943 +/-0.004     0.2514 +/-0.020     0.7705 +/-0.005 
 75%  0.050    128     0.0386 +/-0.034     0.0152 +/-0.004     0.9992 +/-0.000     0.2524 +/-0.020     0.7528 +/-0.001 
 50%  0.010      4     0.0222 +/-0.012     1.0000 +/-0.000     0.9661 +/-0.019     0.9778 +/-0.012     0.9977 +/-0.037 
 50%  0.010     16     0.0242 +/-0.004     1.0000 +/-0.000     0.9719 +/-0.006     0.9758 +/-0.004     1.0000 +/-0.000 
 50%  0.010    128     0.0245 +/-0.001     1.0000 +/-0.000     0.9745 +/-0.001     0.9755 +/-0.001     1.0000 +/-0.000 
 50%  0.030      4     0.0254 +/-0.010     0.7789 +/-0.018     0.9614 +/-0.017     0.8151 +/-0.022     0.8769 +/-0.012 
 50%  0.030     16     0.0252 +/-0.012     0.6393 +/-0.013     0.9740 +/-0.007     0.8376 +/-0.026     0.7850 +/-0.005 
 50%  0.030    128     0.0245 +/-0.023     0.2933 +/-0.009     0.9906 +/-0.001     0.8335 +/-0.025     0.6004 +/-0.005 
 50%  0.050      4     0.0240 +/-0.019     0.4010 +/-0.008     0.9691 +/-0.021     0.5030 +/-0.005     0.6755 +/-0.007 
 50%  0.050     16     0.0250 +/-0.019     0.1828 +/-0.012     0.9887 +/-0.006     0.5113 +/-0.003     0.5593 +/-0.008 
 50%  0.050    128     0.0241 +/-0.026     0.0318 +/-0.006     0.9985 +/-0.001     0.4964 +/-0.004     0.5081 +/-0.002 
 25%  0.010      4     0.0126 +/-0.007     1.0000 +/-0.000     0.9497 +/-0.028     0.9874 +/-0.007     0.9497 +/-0.028 
 25%  0.010     16     0.0122 +/-0.003     1.0000 +/-0.000     0.9600 +/-0.009     0.9878 +/-0.003     1.0000 +/-0.000 
 25%  0.010    128     0.0124 +/-0.001     1.0000 +/-0.000     0.9620 +/-0.002     0.9876 +/-0.001     1.0000 +/-0.000 
 25%  0.030      4     0.0110 +/-0.008     1.0000 +/-0.000     0.9560 +/-0.030     0.9890 +/-0.008     0.9560 +/-0.030 
 25%  0.030     16     0.0117 +/-0.003     1.0000 +/-0.000     0.9617 +/-0.009     0.9883 +/-0.003     1.0000 +/-0.000 
 25%  0.030    128     0.0126 +/-0.001     1.0000 +/-0.000     0.9613 +/-0.002     0.9874 +/-0.001     1.0000 +/-0.000 
 25%  0.050      4     0.0128 +/-0.008     0.6013 +/-0.009     0.9487 +/-0.033     0.7402 +/-0.013     0.5820 +/-0.007 
 25%  0.050     16     0.0129 +/-0.019     0.3802 +/-0.009     0.9764 +/-0.007     0.7564 +/-0.020     0.4080 +/-0.011 
 25%  0.050    128     0.0112 +/-0.018     0.1068 +/-0.006     0.9947 +/-0.002     0.7578 +/-0.020     0.2746 +/-0.003 


fdr_actual statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |            20 | 0.0250 to 0.0850     |          0.0438 |   0.0500 |          0.0563 |   0.0503 | 0.0145
100% 0.010 0.050    16 |            20 | 0.0350 to 0.0750     |          0.0400 |   0.0475 |          0.0600 |   0.0508 | 0.0115
100% 0.010 0.050   128 |            20 | 0.0250 to 0.0750     |          0.0488 |   0.0575 |          0.0650 |   0.0553 | 0.0135
100% 0.030 0.050     4 |            20 | 0.0250 to 0.0750     |          0.0400 |   0.0525 |          0.0650 |   0.0512 | 0.0148
100% 0.030 0.050    16 |            20 | 0.0250 to 0.0800     |          0.0438 |   0.0525 |          0.0600 |   0.0523 | 0.0134
100% 0.030 0.050   128 |            20 | 0.0200 to 0.0850     |          0.0400 |   0.0425 |          0.0500 |   0.0470 | 0.0151
100% 0.050 0.050     4 |            20 | 0.0250 to 0.0650     |          0.0450 |   0.0550 |          0.0563 |   0.0508 | 0.0110
100% 0.050 0.050    16 |            20 | 0.0250 to 0.0750     |          0.0438 |   0.0525 |          0.0612 |   0.0513 | 0.0139
100% 0.050 0.050   128 |            20 | 0.0300 to 0.0750     |          0.0350 |   0.0475 |          0.0550 |   0.0473 | 0.0133
 75% 0.010 0.038     4 |            20 | 0.0175 to 0.0550     |          0.0296 |   0.0354 |          0.0440 |   0.0368 | 0.0099
 75% 0.010 0.038    16 |            20 | 0.0290 to 0.0467     |          0.0345 |   0.0373 |          0.0404 |   0.0372 | 0.0048
 75% 0.010 0.038   128 |            20 | 0.0326 to 0.0412     |          0.0359 |   0.0374 |          0.0387 |   0.0373 | 0.0023
 75% 0.030 0.038     4 |            20 | 0.0150 to 0.0575     |          0.0281 |   0.0358 |          0.0413 |   0.0347 | 0.0112
 75% 0.030 0.038    16 |            20 | 0.0217 to 0.0640     |          0.0327 |   0.0399 |          0.0463 |   0.0399 | 0.0111
 75% 0.030 0.038   128 |            20 | 0.0149 to 0.0500     |          0.0297 |   0.0373 |          0.0426 |   0.0358 | 0.0095
 75% 0.050 0.038     4 |            20 | 0.0225 to 0.0633     |          0.0300 |   0.0383 |          0.0458 |   0.0391 | 0.0119
 75% 0.050 0.038    16 |            20 | 0.0171 to 0.0582     |          0.0285 |   0.0357 |          0.0453 |   0.0376 | 0.0115
 75% 0.050 0.038   128 |            20 | 0.0187 to 0.0604     |          0.0308 |   0.0364 |          0.0511 |   0.0386 | 0.0119
 50% 0.010 0.025     4 |            20 | 0.0108 to 0.0350     |          0.0173 |   0.0204 |          0.0283 |   0.0222 | 0.0070
 50% 0.010 0.025    16 |            20 | 0.0187 to 0.0327     |          0.0213 |   0.0240 |          0.0262 |   0.0242 | 0.0039
 50% 0.010 0.025   128 |            20 | 0.0226 to 0.0257     |          0.0238 |   0.0247 |          0.0253 |   0.0245 | 0.0009
 50% 0.030 0.025     4 |            20 | 0.0133 to 0.0375     |          0.0217 |   0.0250 |          0.0283 |   0.0254 | 0.0056
 50% 0.030 0.025    16 |            20 | 0.0143 to 0.0318     |          0.0239 |   0.0258 |          0.0278 |   0.0252 | 0.0044
 50% 0.030 0.025   128 |            20 | 0.0175 to 0.0322     |          0.0218 |   0.0238 |          0.0271 |   0.0245 | 0.0041
 50% 0.050 0.025     4 |            20 | 0.0117 to 0.0358     |          0.0198 |   0.0225 |          0.0300 |   0.0240 | 0.0071
 50% 0.050 0.025    16 |            20 | 0.0141 to 0.0347     |          0.0215 |   0.0246 |          0.0279 |   0.0250 | 0.0052
 50% 0.050 0.025   128 |            20 | 0.0119 to 0.0357     |          0.0192 |   0.0245 |          0.0287 |   0.0241 | 0.0069
 25% 0.010 0.013     4 |            20 | 0.0075 to 0.0213     |          0.0097 |   0.0119 |          0.0141 |   0.0126 | 0.0035
 25% 0.010 0.013    16 |            20 | 0.0065 to 0.0159     |          0.0113 |   0.0122 |          0.0134 |   0.0122 | 0.0020
 25% 0.010 0.013   128 |            20 | 0.0110 to 0.0134     |          0.0119 |   0.0124 |          0.0130 |   0.0124 | 0.0007
 25% 0.030 0.013     4 |            20 | 0.0037 to 0.0150     |          0.0088 |   0.0119 |          0.0128 |   0.0110 | 0.0031
 25% 0.030 0.013    16 |            20 | 0.0081 to 0.0166     |          0.0106 |   0.0118 |          0.0125 |   0.0117 | 0.0019
 25% 0.030 0.013   128 |            20 | 0.0109 to 0.0142     |          0.0119 |   0.0127 |          0.0131 |   0.0126 | 0.0009
 25% 0.050 0.013     4 |            20 | 0.0063 to 0.0250     |          0.0100 |   0.0125 |          0.0141 |   0.0128 | 0.0043
 25% 0.050 0.013    16 |            20 | 0.0071 to 0.0174     |          0.0100 |   0.0130 |          0.0160 |   0.0129 | 0.0033
 25% 0.050 0.013   128 |            20 | 0.0046 to 0.0197     |          0.0081 |   0.0108 |          0.0136 |   0.0112 | 0.0038

sensitivity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050   128 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
