  ELAPSED TIME: 0:26:59.850012 Simulations Completed

num_sims         1000
max_sigpvals     [0.01, 0.03, 0.05]
multi_params     {'alpha': 0.05, 'method': 'fdr_tsbh'}
perc_nulls       [100, 75, 50, 25]
seed             None
num_experiments  100
num_hypoths_list [4, 16, 128]

          36 Total sets
       3,600 Total FDRs;     100 FDRs/set
   3,600,000 Total sims;   1,000 sims/FDR

  RANDOM SEED = 0x5c66e94a = 1,550,248,266

Summary of mean values and standard errors:

nul% maxSig #tests          fdr_actual         sensitivity         specificity        pos_pred_val        neg_pred_val
---- ------ ------ ------------------- ------------------- ------------------- ------------------- -------------------
100%  0.010      4 0.0503 +/-0.000000 0.0000 +/-0.000000 0.9859 +/-0.000000 0.0000 +/-0.000000 0.9999 +/-0.000000 
100%  0.010     16 0.0506 +/-0.000000 0.0000 +/-0.000000 0.9965 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.010    128 0.0516 +/-0.000000 0.0000 +/-0.000000 0.9996 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.030      4 0.0495 +/-0.000000 0.0000 +/-0.000000 0.9862 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.030     16 0.0498 +/-0.000000 0.0000 +/-0.000000 0.9966 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.030    128 0.0495 +/-0.000000 0.0000 +/-0.000000 0.9996 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.050      4 0.0500 +/-0.000000 0.0000 +/-0.000000 0.9862 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.050     16 0.0493 +/-0.000000 0.0000 +/-0.000000 0.9966 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.050    128 0.0489 +/-0.000000 0.0000 +/-0.000000 0.9996 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
 75%  0.010      4 0.0507 +/-0.000000 1.0000 +/-0.000000 0.9636 +/-0.000000 0.9493 +/-0.000000 0.9988 +/-0.000000 
 75%  0.010     16 0.0504 +/-0.000000 1.0000 +/-0.000000 0.9776 +/-0.000000 0.9496 +/-0.000000 1.0000 +/-0.000000 
 75%  0.010    128 0.0508 +/-0.000000 1.0000 +/-0.000000 0.9816 +/-0.000000 0.9492 +/-0.000000 1.0000 +/-0.000000 
 75%  0.030      4 0.0410 +/-0.000000 0.4530 +/-0.000000 0.9703 +/-0.000000 0.4121 +/-0.000000 0.8622 +/-0.000000 
 75%  0.030     16 0.0375 +/-0.000000 0.2318 +/-0.000000 0.9905 +/-0.000000 0.4164 +/-0.000000 0.8018 +/-0.000000 
 75%  0.030    128 0.0376 +/-0.000000 0.0416 +/-0.000000 0.9987 +/-0.000000 0.4153 +/-0.000000 0.7579 +/-0.000000 
 75%  0.050      4 0.0388 +/-0.000000 0.2767 +/-0.000000 0.9761 +/-0.000000 0.2495 +/-0.000000 0.8175 +/-0.000000 
 75%  0.050     16 0.0371 +/-0.000000 0.1050 +/-0.000000 0.9939 +/-0.000000 0.2501 +/-0.000000 0.7717 +/-0.000000 
 75%  0.050    128 0.0379 +/-0.000000 0.0151 +/-0.000000 0.9992 +/-0.000000 0.2508 +/-0.000000 0.7528 +/-0.000000 
 50%  0.010      4 0.0509 +/-0.000000 1.0000 +/-0.000000 0.9193 +/-0.000000 0.9491 +/-0.000000 0.9826 +/-0.000000 
 50%  0.010     16 0.0514 +/-0.000000 1.0000 +/-0.000000 0.9387 +/-0.000000 0.9486 +/-0.000000 1.0000 +/-0.000000 
 50%  0.010    128 0.0512 +/-0.000000 1.0000 +/-0.000000 0.9452 +/-0.000000 0.9488 +/-0.000000 1.0000 +/-0.000000 
 50%  0.030      4 0.0453 +/-0.000000 0.8440 +/-0.000000 0.9280 +/-0.000000 0.7988 +/-0.000000 0.9054 +/-0.000000 
 50%  0.030     16 0.0384 +/-0.000000 0.8068 +/-0.000000 0.9542 +/-0.000000 0.8171 +/-0.000000 0.9002 +/-0.000000 
 50%  0.030    128 0.0275 +/-0.000000 0.5830 +/-0.000000 0.9779 +/-0.000000 0.8314 +/-0.000000 0.7779 +/-0.000000 
 50%  0.050      4 0.0301 +/-0.000000 0.4485 +/-0.000000 0.9521 +/-0.000000 0.4934 +/-0.000000 0.7009 +/-0.000000 
 50%  0.050     16 0.0253 +/-0.000000 0.2307 +/-0.000000 0.9847 +/-0.000000 0.4990 +/-0.000000 0.5884 +/-0.000000 
 50%  0.050    128 0.0248 +/-0.000000 0.0352 +/-0.000000 0.9982 +/-0.000000 0.5003 +/-0.000000 0.5091 +/-0.000000 
 25%  0.010      4 0.0498 +/-0.000000 1.0000 +/-0.000000 0.8006 +/-0.000000 0.9502 +/-0.000000 0.8006 +/-0.000000 
 25%  0.010     16 0.0518 +/-0.000000 1.0000 +/-0.000000 0.8233 +/-0.000000 0.9482 +/-0.000000 0.9961 +/-0.000000 
 25%  0.010    128 0.0520 +/-0.000000 1.0000 +/-0.000000 0.8339 +/-0.000000 0.9480 +/-0.000000 1.0000 +/-0.000000 
 25%  0.030      4 0.0505 +/-0.000000 1.0000 +/-0.000000 0.7981 +/-0.000000 0.9495 +/-0.000000 0.7981 +/-0.000000 
 25%  0.030     16 0.0518 +/-0.000000 1.0000 +/-0.000000 0.8231 +/-0.000000 0.9482 +/-0.000000 0.9955 +/-0.000000 
 25%  0.030    128 0.0518 +/-0.000000 1.0000 +/-0.000000 0.8343 +/-0.000000 0.9482 +/-0.000000 1.0000 +/-0.000000 
 25%  0.050      4 0.0310 +/-0.000000 0.7628 +/-0.000000 0.8762 +/-0.000000 0.7318 +/-0.000000 0.6983 +/-0.000000 
 25%  0.050     16 0.0192 +/-0.000000 0.6299 +/-0.000000 0.9396 +/-0.000000 0.7443 +/-0.000000 0.6984 +/-0.000000 
 25%  0.050    128 0.0128 +/-0.000000 0.2349 +/-0.000000 0.9865 +/-0.000000 0.7496 +/-0.000000 0.3716 +/-0.000000 


fdr_actual statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |           100 | 0.0320 to 0.0650     |          0.0460 |   0.0500 |          0.0540 |   0.0503 | 0.0065
100% 0.010 0.050    16 |           100 | 0.0350 to 0.0680     |          0.0460 |   0.0510 |          0.0542 |   0.0506 | 0.0068
100% 0.010 0.050   128 |           100 | 0.0360 to 0.0680     |          0.0460 |   0.0510 |          0.0560 |   0.0516 | 0.0068
100% 0.030 0.050     4 |           100 | 0.0380 to 0.0650     |          0.0440 |   0.0490 |          0.0540 |   0.0495 | 0.0068
100% 0.030 0.050    16 |           100 | 0.0370 to 0.0690     |          0.0460 |   0.0500 |          0.0532 |   0.0498 | 0.0063
100% 0.030 0.050   128 |           100 | 0.0330 to 0.0650     |          0.0450 |   0.0500 |          0.0540 |   0.0495 | 0.0070
100% 0.050 0.050     4 |           100 | 0.0360 to 0.0650     |          0.0457 |   0.0500 |          0.0540 |   0.0500 | 0.0063
100% 0.050 0.050    16 |           100 | 0.0260 to 0.0680     |          0.0450 |   0.0490 |          0.0550 |   0.0493 | 0.0075
100% 0.050 0.050   128 |           100 | 0.0300 to 0.0620     |          0.0460 |   0.0490 |          0.0520 |   0.0489 | 0.0060
 75% 0.010 0.038     4 |           100 | 0.0386 to 0.0594     |          0.0481 |   0.0512 |          0.0536 |   0.0507 | 0.0043
 75% 0.010 0.038    16 |           100 | 0.0408 to 0.0621     |          0.0480 |   0.0501 |          0.0525 |   0.0504 | 0.0035
 75% 0.010 0.038   128 |           100 | 0.0483 to 0.0537     |          0.0501 |   0.0506 |          0.0517 |   0.0508 | 0.0012
 75% 0.030 0.038     4 |           100 | 0.0312 to 0.0525     |          0.0378 |   0.0414 |          0.0442 |   0.0410 | 0.0045
 75% 0.030 0.038    16 |           100 | 0.0285 to 0.0496     |          0.0342 |   0.0372 |          0.0399 |   0.0375 | 0.0045
 75% 0.030 0.038   128 |           100 | 0.0276 to 0.0486     |          0.0352 |   0.0377 |          0.0402 |   0.0376 | 0.0044
 75% 0.050 0.038     4 |           100 | 0.0278 to 0.0538     |          0.0352 |   0.0387 |          0.0421 |   0.0388 | 0.0051
 75% 0.050 0.038    16 |           100 | 0.0216 to 0.0520     |          0.0335 |   0.0367 |          0.0403 |   0.0371 | 0.0054
 75% 0.050 0.038   128 |           100 | 0.0253 to 0.0533     |          0.0343 |   0.0373 |          0.0415 |   0.0379 | 0.0051
 50% 0.010 0.025     4 |           100 | 0.0425 to 0.0635     |          0.0487 |   0.0507 |          0.0537 |   0.0509 | 0.0039
 50% 0.010 0.025    16 |           100 | 0.0463 to 0.0578     |          0.0495 |   0.0513 |          0.0529 |   0.0514 | 0.0023
 50% 0.010 0.025   128 |           100 | 0.0489 to 0.0540     |          0.0505 |   0.0511 |          0.0518 |   0.0512 | 0.0009
 50% 0.030 0.025     4 |           100 | 0.0355 to 0.0597     |          0.0426 |   0.0451 |          0.0474 |   0.0453 | 0.0041
 50% 0.030 0.025    16 |           100 | 0.0325 to 0.0433     |          0.0369 |   0.0386 |          0.0397 |   0.0384 | 0.0020
 50% 0.030 0.025   128 |           100 | 0.0237 to 0.0315     |          0.0263 |   0.0275 |          0.0285 |   0.0275 | 0.0016
 50% 0.050 0.025     4 |           100 | 0.0217 to 0.0408     |          0.0278 |   0.0298 |          0.0320 |   0.0301 | 0.0035
 50% 0.050 0.025    16 |           100 | 0.0180 to 0.0343     |          0.0237 |   0.0247 |          0.0266 |   0.0253 | 0.0029
 50% 0.050 0.025   128 |           100 | 0.0166 to 0.0323     |          0.0223 |   0.0247 |          0.0270 |   0.0248 | 0.0033
 25% 0.010 0.013     4 |           100 | 0.0423 to 0.0583     |          0.0479 |   0.0501 |          0.0518 |   0.0498 | 0.0030
 25% 0.010 0.013    16 |           100 | 0.0477 to 0.0561     |          0.0510 |   0.0519 |          0.0530 |   0.0518 | 0.0017
 25% 0.010 0.013   128 |           100 | 0.0506 to 0.0532     |          0.0516 |   0.0520 |          0.0524 |   0.0520 | 0.0006
 25% 0.030 0.013     4 |           100 | 0.0432 to 0.0592     |          0.0478 |   0.0501 |          0.0528 |   0.0505 | 0.0034
 25% 0.030 0.013    16 |           100 | 0.0477 to 0.0566     |          0.0508 |   0.0518 |          0.0529 |   0.0518 | 0.0018
 25% 0.030 0.013   128 |           100 | 0.0500 to 0.0537     |          0.0514 |   0.0518 |          0.0523 |   0.0518 | 0.0007
 25% 0.050 0.013     4 |           100 | 0.0255 to 0.0390     |          0.0295 |   0.0310 |          0.0320 |   0.0310 | 0.0023
 25% 0.050 0.013    16 |           100 | 0.0159 to 0.0230     |          0.0180 |   0.0191 |          0.0201 |   0.0192 | 0.0015
 25% 0.050 0.013   128 |           100 | 0.0104 to 0.0167     |          0.0118 |   0.0126 |          0.0135 |   0.0128 | 0.0015

sensitivity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050    16 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050   128 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050     4 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050    16 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050   128 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050 0.050     4 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050 0.050    16 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
