  ELAPSED TIME: 0:25:50.713393 Simulations Completed

num_sims         1000
max_sigpvals     [0.01, 0.03, 0.05]
multi_params     {'alpha': 0.05, 'method': 'holm-sidak'}
perc_nulls       [100, 75, 50, 25]
seed             None
num_experiments  100
num_hypoths_list [4, 16, 128]

          36 Total sets
       3,600 Total FDRs;     100 FDRs/set
   3,600,000 Total sims;   1,000 sims/FDR

  RANDOM SEED = 0xf9146b6f = 4,178,865,007

Summary of mean values and standard errors:

nul% maxSig #tests          fdr_actual         sensitivity         specificity        pos_pred_val        neg_pred_val
---- ------ ------ ------------------- ------------------- ------------------- ------------------- -------------------
100%  0.010      4 0.0510 +/-0.000000 0.0000 +/-0.000000 0.9868 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.010     16 0.0498 +/-0.000000 0.0000 +/-0.000000 0.9968 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.010    128 0.0498 +/-0.000000 0.0000 +/-0.000000 0.9996 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.030      4 0.0498 +/-0.000000 0.0000 +/-0.000000 0.9871 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.030     16 0.0495 +/-0.000000 0.0000 +/-0.000000 0.9968 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.030    128 0.0501 +/-0.000000 0.0000 +/-0.000000 0.9996 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.050      4 0.0496 +/-0.000000 0.0000 +/-0.000000 0.9873 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.050     16 0.0502 +/-0.000000 0.0000 +/-0.000000 0.9968 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
100%  0.050    128 0.0494 +/-0.000000 0.0000 +/-0.000000 0.9996 +/-0.000000 0.0000 +/-0.000000 1.0000 +/-0.000000 
 75%  0.010      4 0.0256 +/-0.000000 1.0000 +/-0.000000 0.9826 +/-0.000000 0.9744 +/-0.000000 1.0000 +/-0.000000 
 75%  0.010     16 0.0203 +/-0.000000 0.3438 +/-0.000000 0.9965 +/-0.000000 0.7761 +/-0.000000 0.8242 +/-0.000000 
 75%  0.010    128 0.0211 +/-0.000000 0.0405 +/-0.000000 0.9996 +/-0.000000 0.7181 +/-0.000000 0.7577 +/-0.000000 
 75%  0.030      4 0.0296 +/-0.000000 0.4306 +/-0.000000 0.9852 +/-0.000000 0.4168 +/-0.000000 0.8563 +/-0.000000 
 75%  0.030     16 0.0305 +/-0.000000 0.1091 +/-0.000000 0.9967 +/-0.000000 0.3565 +/-0.000000 0.7718 +/-0.000000 
 75%  0.030    128 0.0306 +/-0.000000 0.0133 +/-0.000000 0.9996 +/-0.000000 0.3423 +/-0.000000 0.7525 +/-0.000000 
 75%  0.050      4 0.0326 +/-0.000000 0.2591 +/-0.000000 0.9861 +/-0.000000 0.2508 +/-0.000000 0.8127 +/-0.000000 
 75%  0.050     16 0.0332 +/-0.000000 0.0652 +/-0.000000 0.9967 +/-0.000000 0.2284 +/-0.000000 0.7626 +/-0.000000 
 75%  0.050    128 0.0333 +/-0.000000 0.0080 +/-0.000000 0.9996 +/-0.000000 0.2229 +/-0.000000 0.7514 +/-0.000000 
 50%  0.010      4 0.0168 +/-0.000000 1.0000 +/-0.000000 0.9743 +/-0.000000 0.9832 +/-0.000000 0.9980 +/-0.000000 
 50%  0.010     16 0.0087 +/-0.000000 0.3906 +/-0.000000 0.9959 +/-0.000000 0.9470 +/-0.000000 0.6328 +/-0.000000 
 50%  0.010    128 0.0096 +/-0.000000 0.0409 +/-0.000000 0.9996 +/-0.000000 0.9204 +/-0.000000 0.5104 +/-0.000000 
 50%  0.030      4 0.0162 +/-0.000000 0.4913 +/-0.000000 0.9817 +/-0.000000 0.6608 +/-0.000000 0.7126 +/-0.000000 
 50%  0.030     16 0.0166 +/-0.000000 0.1130 +/-0.000000 0.9966 +/-0.000000 0.5876 +/-0.000000 0.5313 +/-0.000000 
 50%  0.030    128 0.0168 +/-0.000000 0.0135 +/-0.000000 0.9996 +/-0.000000 0.5712 +/-0.000000 0.5033 +/-0.000000 
 50%  0.050      4 0.0194 +/-0.000000 0.2815 +/-0.000000 0.9843 +/-0.000000 0.4416 +/-0.000000 0.6085 +/-0.000000 
 50%  0.050     16 0.0204 +/-0.000000 0.0662 +/-0.000000 0.9966 +/-0.000000 0.4073 +/-0.000000 0.5174 +/-0.000000 
 50%  0.050    128 0.0195 +/-0.000000 0.0081 +/-0.000000 0.9996 +/-0.000000 0.3989 +/-0.000000 0.5019 +/-0.000000 
 25%  0.010      4 0.0123 +/-0.000000 1.0000 +/-0.000000 0.9509 +/-0.000000 0.9877 +/-0.000000 0.9509 +/-0.000000 
 25%  0.010     16 0.0032 +/-0.000000 0.5035 +/-0.000000 0.9939 +/-0.000000 0.9868 +/-0.000000 0.4748 +/-0.000000 
 25%  0.010    128 0.0033 +/-0.000000 0.0414 +/-0.000000 0.9996 +/-0.000000 0.9771 +/-0.000000 0.2580 +/-0.000000 
 25%  0.030      4 0.0088 +/-0.000000 0.6071 +/-0.000000 0.9687 +/-0.000000 0.8022 +/-0.000000 0.6016 +/-0.000000 
 25%  0.030     16 0.0072 +/-0.000000 0.1166 +/-0.000000 0.9965 +/-0.000000 0.7377 +/-0.000000 0.2754 +/-0.000000 
 25%  0.030    128 0.0070 +/-0.000000 0.0135 +/-0.000000 0.9996 +/-0.000000 0.7216 +/-0.000000 0.2525 +/-0.000000 
 25%  0.050      4 0.0085 +/-0.000000 0.3167 +/-0.000000 0.9803 +/-0.000000 0.5850 +/-0.000000 0.3787 +/-0.000000 
 25%  0.050     16 0.0089 +/-0.000000 0.0675 +/-0.000000 0.9966 +/-0.000000 0.5437 +/-0.000000 0.2637 +/-0.000000 
 25%  0.050    128 0.0086 +/-0.000000 0.0081 +/-0.000000 0.9996 +/-0.000000 0.5333 +/-0.000000 0.2515 +/-0.000000 


fdr_actual statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |           100 | 0.0370 to 0.0710     |          0.0450 |   0.0510 |          0.0553 |   0.0510 | 0.0070
100% 0.010 0.050    16 |           100 | 0.0340 to 0.0710     |          0.0440 |   0.0480 |          0.0550 |   0.0498 | 0.0077
100% 0.010 0.050   128 |           100 | 0.0350 to 0.0670     |          0.0450 |   0.0500 |          0.0550 |   0.0498 | 0.0069
100% 0.030 0.050     4 |           100 | 0.0310 to 0.0740     |          0.0440 |   0.0500 |          0.0560 |   0.0498 | 0.0079
100% 0.030 0.050    16 |           100 | 0.0340 to 0.0620     |          0.0460 |   0.0490 |          0.0542 |   0.0495 | 0.0063
100% 0.030 0.050   128 |           100 | 0.0350 to 0.0720     |          0.0450 |   0.0500 |          0.0550 |   0.0501 | 0.0073
100% 0.050 0.050     4 |           100 | 0.0330 to 0.0640     |          0.0460 |   0.0490 |          0.0542 |   0.0496 | 0.0064
100% 0.050 0.050    16 |           100 | 0.0350 to 0.0660     |          0.0460 |   0.0510 |          0.0540 |   0.0502 | 0.0069
100% 0.050 0.050   128 |           100 | 0.0290 to 0.0650     |          0.0440 |   0.0490 |          0.0542 |   0.0494 | 0.0071
 75% 0.010 0.038     4 |           100 | 0.0165 to 0.0323     |          0.0233 |   0.0257 |          0.0280 |   0.0256 | 0.0035
 75% 0.010 0.038    16 |           100 | 0.0107 to 0.0330     |          0.0172 |   0.0201 |          0.0227 |   0.0203 | 0.0042
 75% 0.010 0.038   128 |           100 | 0.0106 to 0.0298     |          0.0184 |   0.0205 |          0.0238 |   0.0211 | 0.0037
 75% 0.030 0.038     4 |           100 | 0.0185 to 0.0452     |          0.0267 |   0.0293 |          0.0320 |   0.0296 | 0.0046
 75% 0.030 0.038    16 |           100 | 0.0203 to 0.0432     |          0.0272 |   0.0304 |          0.0330 |   0.0305 | 0.0052
 75% 0.030 0.038   128 |           100 | 0.0169 to 0.0467     |          0.0271 |   0.0298 |          0.0342 |   0.0306 | 0.0051
 75% 0.050 0.038     4 |           100 | 0.0220 to 0.0517     |          0.0285 |   0.0318 |          0.0370 |   0.0326 | 0.0059
 75% 0.050 0.038    16 |           100 | 0.0207 to 0.0463     |          0.0295 |   0.0334 |          0.0364 |   0.0332 | 0.0053
 75% 0.050 0.038   128 |           100 | 0.0202 to 0.0448     |          0.0295 |   0.0338 |          0.0368 |   0.0333 | 0.0050
 50% 0.010 0.025     4 |           100 | 0.0115 to 0.0253     |          0.0150 |   0.0166 |          0.0180 |   0.0168 | 0.0024
 50% 0.010 0.025    16 |           100 | 0.0044 to 0.0146     |          0.0073 |   0.0085 |          0.0099 |   0.0087 | 0.0019
 50% 0.010 0.025   128 |           100 | 0.0043 to 0.0153     |          0.0081 |   0.0094 |          0.0107 |   0.0096 | 0.0022
 50% 0.030 0.025     4 |           100 | 0.0078 to 0.0228     |          0.0142 |   0.0165 |          0.0178 |   0.0162 | 0.0028
 50% 0.030 0.025    16 |           100 | 0.0068 to 0.0267     |          0.0140 |   0.0164 |          0.0187 |   0.0166 | 0.0038
 50% 0.030 0.025   128 |           100 | 0.0077 to 0.0240     |          0.0142 |   0.0170 |          0.0192 |   0.0168 | 0.0034
 50% 0.050 0.025     4 |           100 | 0.0100 to 0.0322     |          0.0165 |   0.0194 |          0.0222 |   0.0194 | 0.0043
 50% 0.050 0.025    16 |           100 | 0.0119 to 0.0276     |          0.0177 |   0.0204 |          0.0228 |   0.0204 | 0.0036
 50% 0.050 0.025   128 |           100 | 0.0105 to 0.0305     |          0.0166 |   0.0191 |          0.0221 |   0.0195 | 0.0043
 25% 0.010 0.013     4 |           100 | 0.0077 to 0.0155     |          0.0110 |   0.0125 |          0.0132 |   0.0123 | 0.0016
 25% 0.010 0.013    16 |           100 | 0.0017 to 0.0054     |          0.0027 |   0.0031 |          0.0036 |   0.0032 | 0.0007
 25% 0.010 0.013   128 |           100 | 0.0009 to 0.0065     |          0.0025 |   0.0031 |          0.0039 |   0.0033 | 0.0011
 25% 0.030 0.013     4 |           100 | 0.0053 to 0.0145     |          0.0075 |   0.0085 |          0.0101 |   0.0088 | 0.0018
 25% 0.030 0.013    16 |           100 | 0.0007 to 0.0120     |          0.0059 |   0.0073 |          0.0087 |   0.0072 | 0.0019
 25% 0.030 0.013   128 |           100 | 0.0032 to 0.0123     |          0.0057 |   0.0070 |          0.0082 |   0.0070 | 0.0020
 25% 0.050 0.013     4 |           100 | 0.0035 to 0.0155     |          0.0067 |   0.0084 |          0.0097 |   0.0085 | 0.0023
 25% 0.050 0.013    16 |           100 | 0.0024 to 0.0172     |          0.0073 |   0.0089 |          0.0103 |   0.0089 | 0.0025
 25% 0.050 0.013   128 |           100 | 0.0032 to 0.0143     |          0.0066 |   0.0087 |          0.0103 |   0.0086 | 0.0025

sensitivity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050    16 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050   128 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050     4 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050    16 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050   128 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050 0.050     4 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050 0.050    16 |           100 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
