num_sims         1000
max_sigpvals     [0.01, 0.03, 0.05]
multi_params     {'alpha': 0.05, 'method': 'fdr_bh'}
perc_nulls       [100, 75, 50, 25]
seed             None
num_experiments  500
num_hypoths_list [4, 16, 128]
  RANDOM SEED = 0x0aaa6f9e = 178,941,854

Summary of mean values and standard errors:

nul% maxSig #tests          fdr_actual         sensitivity         specificity        pos_pred_val        neg_pred_val
---- ------ ------ ------------------- ------------------- ------------------- ------------------- -------------------
100%  0.010      4     0.0498 +/-0.014     0.0000 +/-0.000     0.9866 +/-0.005     0.0000 +/-0.000     1.0000 +/-0.001 
100%  0.010     16     0.0505 +/-0.015     0.0000 +/-0.000     0.9965 +/-0.001     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.010    128     0.0503 +/-0.015     0.0000 +/-0.000     0.9996 +/-0.000     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.030      4     0.0506 +/-0.014     0.0000 +/-0.000     0.9864 +/-0.005     0.0000 +/-0.000     1.0000 +/-0.001 
100%  0.030     16     0.0498 +/-0.014     0.0000 +/-0.000     0.9966 +/-0.001     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.030    128     0.0503 +/-0.014     0.0000 +/-0.000     0.9996 +/-0.000     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.050      4     0.0496 +/-0.015     0.0000 +/-0.000     0.9867 +/-0.005     0.0000 +/-0.000     1.0000 +/-0.002 
100%  0.050     16     0.0505 +/-0.015     0.0000 +/-0.000     0.9965 +/-0.001     0.0000 +/-0.000     1.0000 +/-0.000 
100%  0.050    128     0.0500 +/-0.015     0.0000 +/-0.000     0.9996 +/-0.000     0.0000 +/-0.000     1.0000 +/-0.000 
 75%  0.010      4     0.0377 +/-0.007     1.0000 +/-0.000     0.9739 +/-0.006     0.9623 +/-0.007     0.9999 +/-0.010 
 75%  0.010     16     0.0373 +/-0.003     1.0000 +/-0.000     0.9838 +/-0.002     0.9627 +/-0.003     1.0000 +/-0.000 
 75%  0.010    128     0.0376 +/-0.001     1.0000 +/-0.000     0.9866 +/-0.000     0.9624 +/-0.001     1.0000 +/-0.000 
 75%  0.030      4     0.0378 +/-0.010     0.4484 +/-0.002     0.9759 +/-0.006     0.4167 +/-0.003     0.8615 +/-0.001 
 75%  0.030     16     0.0376 +/-0.012     0.2121 +/-0.007     0.9919 +/-0.002     0.4166 +/-0.003     0.7963 +/-0.002 
 75%  0.030    128     0.0376 +/-0.013     0.0400 +/-0.003     0.9987 +/-0.000     0.4173 +/-0.003     0.7576 +/-0.001 
 75%  0.050      4     0.0375 +/-0.012     0.2711 +/-0.007     0.9800 +/-0.006     0.2514 +/-0.008     0.8161 +/-0.002 
 75%  0.050     16     0.0376 +/-0.013     0.0993 +/-0.008     0.9943 +/-0.002     0.2501 +/-0.008     0.7703 +/-0.002 
 75%  0.050    128     0.0377 +/-0.013     0.0149 +/-0.002     0.9992 +/-0.000     0.2500 +/-0.008     0.7527 +/-0.000 
 50%  0.010      4     0.0252 +/-0.005     1.0000 +/-0.000     0.9616 +/-0.009     0.9748 +/-0.005     0.9974 +/-0.019 
 50%  0.010     16     0.0250 +/-0.002     1.0000 +/-0.000     0.9712 +/-0.002     0.9750 +/-0.002     1.0000 +/-0.000 
 50%  0.010    128     0.0250 +/-0.000     1.0000 +/-0.000     0.9739 +/-0.001     0.9750 +/-0.000     1.0000 +/-0.000 
 50%  0.030      4     0.0251 +/-0.005     0.7823 +/-0.008     0.9617 +/-0.008     0.8212 +/-0.010     0.8779 +/-0.004 
 50%  0.030     16     0.0251 +/-0.007     0.6288 +/-0.006     0.9743 +/-0.003     0.8322 +/-0.011     0.7795 +/-0.002 
 50%  0.030    128     0.0250 +/-0.010     0.2883 +/-0.005     0.9905 +/-0.001     0.8330 +/-0.011     0.5985 +/-0.003 
 50%  0.050      4     0.0249 +/-0.010     0.3967 +/-0.005     0.9694 +/-0.009     0.4996 +/-0.002     0.6726 +/-0.003 
 50%  0.050     16     0.0251 +/-0.012     0.1794 +/-0.006     0.9893 +/-0.003     0.5002 +/-0.002     0.5586 +/-0.004 
 50%  0.050    128     0.0250 +/-0.012     0.0320 +/-0.003     0.9983 +/-0.000     0.4989 +/-0.002     0.5081 +/-0.001 
 25%  0.010      4     0.0125 +/-0.004     1.0000 +/-0.000     0.9498 +/-0.014     0.9875 +/-0.004     0.9498 +/-0.014 
 25%  0.010     16     0.0125 +/-0.001     1.0000 +/-0.000     0.9590 +/-0.004     0.9875 +/-0.001     1.0000 +/-0.000 
 25%  0.010    128     0.0125 +/-0.000     1.0000 +/-0.000     0.9617 +/-0.001     0.9875 +/-0.000     1.0000 +/-0.000 
 25%  0.030      4     0.0125 +/-0.004     1.0000 +/-0.000     0.9501 +/-0.015     0.9875 +/-0.004     0.9501 +/-0.015 
 25%  0.030     16     0.0125 +/-0.001     1.0000 +/-0.000     0.9589 +/-0.004     0.9875 +/-0.001     1.0000 +/-0.002 
 25%  0.030    128     0.0125 +/-0.000     1.0000 +/-0.000     0.9616 +/-0.001     0.9875 +/-0.000     1.0000 +/-0.000 
 25%  0.050      4     0.0126 +/-0.004     0.6149 +/-0.005     0.9496 +/-0.015     0.7500 +/-0.008     0.5943 +/-0.003 
 25%  0.050     16     0.0124 +/-0.010     0.3792 +/-0.005     0.9765 +/-0.005     0.7505 +/-0.008     0.4080 +/-0.006 
 25%  0.050    128     0.0125 +/-0.011     0.1048 +/-0.004     0.9945 +/-0.001     0.7500 +/-0.008     0.2740 +/-0.002 


fdr_actual statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |           500 | 0.0320 to 0.0700     |          0.0450 |   0.0500 |          0.0540 |   0.0498 | 0.0068
100% 0.010 0.050    16 |           500 | 0.0300 to 0.0770     |          0.0450 |   0.0500 |          0.0550 |   0.0505 | 0.0072
100% 0.010 0.050   128 |           500 | 0.0280 to 0.0760     |          0.0460 |   0.0510 |          0.0550 |   0.0503 | 0.0071
100% 0.030 0.050     4 |           500 | 0.0330 to 0.0720     |          0.0460 |   0.0500 |          0.0550 |   0.0506 | 0.0066
100% 0.030 0.050    16 |           500 | 0.0320 to 0.0710     |          0.0450 |   0.0500 |          0.0540 |   0.0498 | 0.0069
100% 0.030 0.050   128 |           500 | 0.0300 to 0.0720     |          0.0460 |   0.0500 |          0.0550 |   0.0503 | 0.0069
100% 0.050 0.050     4 |           500 | 0.0270 to 0.0830     |          0.0450 |   0.0490 |          0.0540 |   0.0496 | 0.0073
100% 0.050 0.050    16 |           500 | 0.0270 to 0.0730     |          0.0460 |   0.0510 |          0.0550 |   0.0505 | 0.0071
100% 0.050 0.050   128 |           500 | 0.0300 to 0.0720     |          0.0450 |   0.0500 |          0.0550 |   0.0500 | 0.0071
 75% 0.010 0.038     4 |           500 | 0.0247 to 0.0514     |          0.0348 |   0.0377 |          0.0405 |   0.0377 | 0.0044
 75% 0.010 0.038    16 |           500 | 0.0302 to 0.0459     |          0.0354 |   0.0374 |          0.0390 |   0.0373 | 0.0027
 75% 0.010 0.038   128 |           500 | 0.0348 to 0.0407     |          0.0369 |   0.0375 |          0.0382 |   0.0376 | 0.0010
 75% 0.030 0.038     4 |           500 | 0.0243 to 0.0577     |          0.0348 |   0.0377 |          0.0408 |   0.0378 | 0.0046
 75% 0.030 0.038    16 |           500 | 0.0244 to 0.0509     |          0.0346 |   0.0377 |          0.0407 |   0.0376 | 0.0043
 75% 0.030 0.038   128 |           500 | 0.0258 to 0.0524     |          0.0344 |   0.0376 |          0.0406 |   0.0376 | 0.0046
 75% 0.050 0.038     4 |           500 | 0.0237 to 0.0530     |          0.0338 |   0.0375 |          0.0408 |   0.0375 | 0.0052
 75% 0.050 0.038    16 |           500 | 0.0244 to 0.0535     |          0.0341 |   0.0378 |          0.0410 |   0.0376 | 0.0051
 75% 0.050 0.038   128 |           500 | 0.0257 to 0.0551     |          0.0342 |   0.0375 |          0.0410 |   0.0377 | 0.0051
 50% 0.010 0.025     4 |           500 | 0.0172 to 0.0340     |          0.0232 |   0.0251 |          0.0272 |   0.0252 | 0.0030
 50% 0.010 0.025    16 |           500 | 0.0200 to 0.0295     |          0.0241 |   0.0251 |          0.0261 |   0.0250 | 0.0016
 50% 0.010 0.025   128 |           500 | 0.0232 to 0.0268     |          0.0246 |   0.0250 |          0.0255 |   0.0250 | 0.0006
 50% 0.030 0.025     4 |           500 | 0.0138 to 0.0330     |          0.0232 |   0.0252 |          0.0270 |   0.0251 | 0.0029
 50% 0.030 0.025    16 |           500 | 0.0202 to 0.0309     |          0.0237 |   0.0250 |          0.0264 |   0.0251 | 0.0019
 50% 0.030 0.025   128 |           500 | 0.0200 to 0.0321     |          0.0237 |   0.0248 |          0.0262 |   0.0250 | 0.0019
 50% 0.050 0.025     4 |           500 | 0.0160 to 0.0362     |          0.0225 |   0.0248 |          0.0272 |   0.0249 | 0.0035
 50% 0.050 0.025    16 |           500 | 0.0152 to 0.0369     |          0.0225 |   0.0252 |          0.0274 |   0.0251 | 0.0036
 50% 0.050 0.025   128 |           500 | 0.0128 to 0.0351     |          0.0228 |   0.0248 |          0.0271 |   0.0250 | 0.0032
 25% 0.010 0.013     4 |           500 | 0.0073 to 0.0185     |          0.0112 |   0.0125 |          0.0135 |   0.0125 | 0.0017
 25% 0.010 0.013    16 |           500 | 0.0099 to 0.0151     |          0.0119 |   0.0125 |          0.0131 |   0.0125 | 0.0009
 25% 0.010 0.013   128 |           500 | 0.0116 to 0.0137     |          0.0123 |   0.0125 |          0.0128 |   0.0125 | 0.0004
 25% 0.030 0.013     4 |           500 | 0.0077 to 0.0177     |          0.0112 |   0.0125 |          0.0138 |   0.0125 | 0.0018
 25% 0.030 0.013    16 |           500 | 0.0093 to 0.0150     |          0.0119 |   0.0125 |          0.0132 |   0.0125 | 0.0010
 25% 0.030 0.013   128 |           500 | 0.0112 to 0.0136     |          0.0123 |   0.0125 |          0.0128 |   0.0125 | 0.0004
 25% 0.050 0.013     4 |           500 | 0.0083 to 0.0185     |          0.0112 |   0.0125 |          0.0138 |   0.0126 | 0.0018
 25% 0.050 0.013    16 |           500 | 0.0080 to 0.0185     |          0.0113 |   0.0123 |          0.0135 |   0.0124 | 0.0017
 25% 0.050 0.013   128 |           500 | 0.0082 to 0.0185     |          0.0113 |   0.0125 |          0.0137 |   0.0125 | 0.0018

sensitivity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.010 0.050     4 |           500 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050    16 |           500 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.010 0.050   128 |           500 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.030 0.050     4 |           500 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
