  ELAPSED TIME: 2:03:25.698688 Simulations Completed

WRITTEN: 2017-07-16:

  RANDOM SEED = 0x0714acdf = 118,795,487
alpha(0.05) method(fdr_bh)
SETTINGS AND GO-DAG VERSION:
    Multitest Params: alpha(0.05) method(fdr_bh)
    GO-DAG version:   go-basic.obo: fmt(1.2) rel(2017-06-30) 48,928 GO Terms

ASSOCIATION INFORMATION:
    GOC Validation Date: 05/19/2017 $
    Submission Date: 5/19/2017
    gaf-version: 2.0
    Project_name: Mouse Genome Informatics (MGI)
    URL: http://www.informatics.jax.org/
    Contact Email: mgi-help@jax.org
    Funding: NHGRI of US National Institutes of Health
    software version: $Revision$
    date: 05/18/2017 $

18,647 GENES  IN ASSOCIATION
17,276 GO IDs IN ASSOCIATION
18,647 GENES  IN POPULATION
22,025 population genes (user)
18,647 population genes in assc.
   85% population genes coverage in assc.
   124 study genes (user)
   124 study genes in assc.
16,305 population genes - study buffer

TITLE: Assc: TN=Orig
SIMULATION PARAMETERS:
    randomize_truenull_assc orig_noprune_ntn2
    perc_nulls      [100, 75, 50, 25, 0]
    num_genes_list  [4, 16, 64, 124]
    num_experiments 20
    num_sims        20


Summary of mean values and standard errors  for 20 sets of experiments

nul% #tests          fdr_actual         sensitivity         specificity        pos_pred_val        neg_pred_val
---- ------ ------------------- ------------------- ------------------- ------------------- -------------------
100%      4  0.0075 +/-0.000000  0.0000 +/-0.000000  0.9963 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000
100%     16  0.0000 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000
100%     64  0.0000 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000
100%    124  0.0025 +/-0.000000  0.0000 +/-0.000000  0.9999 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000
 75%      4  0.0000 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000  0.0000 +/-0.000000  0.7500 +/-0.000000
 75%     16  0.0069 +/-0.000000  0.1012 +/-0.000000  0.9988 +/-0.000000  0.1231 +/-0.000000  0.7738 +/-0.000000
 75%     64  0.0030 +/-0.000000  0.7366 +/-0.000000  0.9990 +/-0.000000  0.9970 +/-0.000000  0.9211 +/-0.000000
 75%    124  0.0096 +/-0.000000  0.8749 +/-0.000000  0.9951 +/-0.000000  0.9904 +/-0.000000  0.9604 +/-0.000000
 50%      4  0.0000 +/-0.000000  0.0100 +/-0.000000  1.0000 +/-0.000000  0.0100 +/-0.000000  0.5050 +/-0.000000
 50%     16  0.0000 +/-0.000000  0.4697 +/-0.000000  1.0000 +/-0.000000  0.8350 +/-0.000000  0.6733 +/-0.000000
 50%     64  0.0148 +/-0.000000  0.9253 +/-0.000000  0.9834 +/-0.000000  0.9852 +/-0.000000  0.9311 +/-0.000000
 50%    124  0.1781 +/-0.000000  0.9634 +/-0.000000  0.7671 +/-0.000000  0.8219 +/-0.000000  0.9540 +/-0.000000
 25%      4  0.0008 +/-0.000000  0.1125 +/-0.000000  0.9975 +/-0.000000  0.1317 +/-0.000000  0.3181 +/-0.000000
 25%     16  0.0022 +/-0.000000  0.7540 +/-0.000000  0.9938 +/-0.000000  0.9978 +/-0.000000  0.6181 +/-0.000000
 25%     64  0.0915 +/-0.000000  0.9583 +/-0.000000  0.7030 +/-0.000000  0.9085 +/-0.000000  0.8542 +/-0.000000
 25%    124  0.1248 +/-0.000000  0.9840 +/-0.000000  0.5765 +/-0.000000  0.8752 +/-0.000000  0.9241 +/-0.000000
  0%      4  0.0000 +/-0.000000  0.2738 +/-0.000000  0.0000 +/-0.000000  0.3700 +/-0.000000  0.0000 +/-0.000000
  0%     16  0.0000 +/-0.000000  0.8559 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000  0.0000 +/-0.000000
  0%     64  0.0000 +/-0.000000  0.9733 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000  0.0000 +/-0.000000
  0%    124  0.0000 +/-0.000000  1.0000 +/-0.000000  0.0000 +/-0.000000  1.0000 +/-0.000000  0.0000 +/-0.000000


fdr_actual statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0075 | 0.0183
100% 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050   124 |            20 | 0.0000 to 0.0500     |          0.0000 |   0.0000 |          0.0000 |   0.0025 | 0.0112
 75% 0.038     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038    16 |            20 | 0.0000 to 0.0750     |          0.0000 |   0.0000 |          0.0000 |   0.0069 | 0.0196
 75% 0.038    64 |            20 | 0.0000 to 0.0219     |          0.0000 |   0.0000 |          0.0039 |   0.0030 | 0.0056
 75% 0.038   124 |            20 | 0.0000 to 0.0297     |          0.0000 |   0.0000 |          0.0222 |   0.0096 | 0.0116
 50% 0.025     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 50% 0.025    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 50% 0.025    64 |            20 | 0.0000 to 0.0404     |          0.0081 |   0.0107 |          0.0209 |   0.0148 | 0.0115
 50% 0.025   124 |            20 | 0.1250 to 0.2425     |          0.1562 |   0.1770 |          0.2032 |   0.1781 | 0.0308
 25% 0.013     4 |            20 | 0.0000 to 0.0167     |          0.0000 |   0.0000 |          0.0000 |   0.0008 | 0.0037
 25% 0.013    16 |            20 | 0.0000 to 0.0117     |          0.0000 |   0.0000 |          0.0043 |   0.0022 | 0.0034
 25% 0.013    64 |            20 | 0.0812 to 0.1056     |          0.0856 |   0.0913 |          0.0978 |   0.0915 | 0.0074
 25% 0.013   124 |            20 | 0.1146 to 0.1310     |          0.1229 |   0.1259 |          0.1281 |   0.1248 | 0.0045
  0% 0.000     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000

sensitivity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038    16 |            20 | 0.0000 to 0.2500     |          0.0563 |   0.0750 |          0.1469 |   0.1012 | 0.0670
 75% 0.038    64 |            20 | 0.6750 to 0.8063     |          0.7117 |   0.7344 |          0.7594 |   0.7366 | 0.0380
 75% 0.038   124 |            20 | 0.8355 to 0.9065     |          0.8657 |   0.8710 |          0.8891 |   0.8749 | 0.0198
 50% 0.025     4 |            20 | 0.0000 to 0.1000     |          0.0000 |   0.0000 |          0.0000 |   0.0100 | 0.0262
 50% 0.025    16 |            20 | 0.3688 to 0.5563     |          0.4406 |   0.4719 |          0.5062 |   0.4697 | 0.0493
 50% 0.025    64 |            20 | 0.9031 to 0.9422     |          0.9230 |   0.9266 |          0.9328 |   0.9253 | 0.0096
 50% 0.025   124 |            20 | 0.9556 to 0.9726     |          0.9597 |   0.9621 |          0.9679 |   0.9634 | 0.0051
 25% 0.013     4 |            20 | 0.0000 to 0.2167     |          0.0750 |   0.1250 |          0.1542 |   0.1125 | 0.0574
 25% 0.013    16 |            20 | 0.6708 to 0.8083     |          0.7375 |   0.7604 |          0.7833 |   0.7540 | 0.0388
 25% 0.013    64 |            20 | 0.9469 to 0.9708     |          0.9521 |   0.9583 |          0.9628 |   0.9583 | 0.0065
 25% 0.013   124 |            20 | 0.9796 to 0.9876     |          0.9827 |   0.9844 |          0.9855 |   0.9840 | 0.0021
  0% 0.000     4 |            20 | 0.1750 to 0.4500     |          0.2000 |   0.2500 |          0.3406 |   0.2738 | 0.0849
  0% 0.000    16 |            20 | 0.7906 to 0.9125     |          0.8398 |   0.8531 |          0.8781 |   0.8559 | 0.0266
  0% 0.000    64 |            20 | 0.9656 to 0.9812     |          0.9711 |   0.9727 |          0.9773 |   0.9733 | 0.0044
  0% 0.000   124 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000

specificity statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.9750 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9963 | 0.0092
100% 0.050    16 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050    64 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050   124 |            20 | 0.9984 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9999 | 0.0004
 75% 0.038     4 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
 75% 0.038    16 |            20 | 0.9875 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9988 | 0.0033
 75% 0.038    64 |            20 | 0.9927 to 1.0000     |          0.9990 |   1.0000 |          1.0000 |   0.9990 | 0.0019
 75% 0.038   124 |            20 | 0.9849 to 1.0000     |          0.9876 |   1.0000 |          1.0000 |   0.9951 | 0.0061
 50% 0.025     4 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
 50% 0.025    16 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
 50% 0.025    64 |            20 | 0.9547 to 1.0000     |          0.9762 |   0.9875 |          0.9910 |   0.9834 | 0.0131
 50% 0.025   124 |            20 | 0.6815 to 0.8379     |          0.7327 |   0.7685 |          0.7952 |   0.7671 | 0.0415
 25% 0.013     4 |            20 | 0.9500 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   0.9975 | 0.0112
 25% 0.013    16 |            20 | 0.9625 to 1.0000     |          0.9875 |   1.0000 |          1.0000 |   0.9938 | 0.0103
 25% 0.013    64 |            20 | 0.6500 to 0.7312     |          0.6828 |   0.7047 |          0.7250 |   0.7030 | 0.0243
 25% 0.013   124 |            20 | 0.5532 to 0.6129     |          0.5641 |   0.5718 |          0.5827 |   0.5765 | 0.0168
  0% 0.000     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000

pos_pred_val statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
100% 0.050   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
 75% 0.038    16 |            20 | 0.0000 to 0.3000     |          0.0938 |   0.1000 |          0.1625 |   0.1231 | 0.0739
 75% 0.038    64 |            20 | 0.9781 to 1.0000     |          0.9961 |   1.0000 |          1.0000 |   0.9970 | 0.0056
 75% 0.038   124 |            20 | 0.9703 to 1.0000     |          0.9778 |   1.0000 |          1.0000 |   0.9904 | 0.0116
 50% 0.025     4 |            20 | 0.0000 to 0.1000     |          0.0000 |   0.0000 |          0.0000 |   0.0100 | 0.0262
 50% 0.025    16 |            20 | 0.6000 to 0.9500     |          0.8000 |   0.8500 |          0.9000 |   0.8350 | 0.0961
 50% 0.025    64 |            20 | 0.9596 to 1.0000     |          0.9791 |   0.9893 |          0.9919 |   0.9852 | 0.0115
 50% 0.025   124 |            20 | 0.7575 to 0.8750     |          0.7968 |   0.8230 |          0.8438 |   0.8219 | 0.0308
 25% 0.013     4 |            20 | 0.0000 to 0.2500     |          0.0750 |   0.1500 |          0.2000 |   0.1317 | 0.0679
 25% 0.013    16 |            20 | 0.9883 to 1.0000     |          0.9957 |   1.0000 |          1.0000 |   0.9978 | 0.0034
 25% 0.013    64 |            20 | 0.8944 to 0.9188     |          0.9022 |   0.9087 |          0.9144 |   0.9085 | 0.0074
 25% 0.013   124 |            20 | 0.8690 to 0.8854     |          0.8719 |   0.8741 |          0.8771 |   0.8752 | 0.0045
  0% 0.000     4 |            20 | 0.2500 to 0.6000     |          0.2500 |   0.3500 |          0.4625 |   0.3700 | 0.1174
  0% 0.000    16 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
  0% 0.000    64 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
  0% 0.000   124 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000

neg_pred_val statistics:
Nul(% max) #pval #tests | # exps        | range                | 25th percentile |   median | 75th percentile |     mean | stddev
------------------------|---------------|----------------------|-----------------|----------|-----------------|----------|-------
100% 0.050     4 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050    16 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050    64 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
100% 0.050   124 |            20 | 1.0000 to 1.0000     |          1.0000 |   1.0000 |          1.0000 |   1.0000 | 0.0000
 75% 0.038     4 |            20 | 0.7500 to 0.7500     |          0.7500 |   0.7500 |          0.7500 |   0.7500 | 0.0000
 75% 0.038    16 |            20 | 0.7500 to 0.8096     |          0.7627 |   0.7673 |          0.7854 |   0.7738 | 0.0164
 75% 0.038    64 |            20 | 0.9041 to 0.9412     |          0.9142 |   0.9212 |          0.9268 |   0.9211 | 0.0107
 75% 0.038   124 |            20 | 0.9482 to 0.9699     |          0.9572 |   0.9592 |          0.9645 |   0.9604 | 0.0061
 50% 0.025     4 |            20 | 0.5000 to 0.5500     |          0.5000 |   0.5000 |          0.5000 |   0.5050 | 0.0131
 50% 0.025    16 |            20 | 0.6380 to 0.7055     |          0.6587 |   0.6714 |          0.6890 |   0.6733 | 0.0199
 50% 0.025    64 |            20 | 0.9126 to 0.9453     |          0.9285 |   0.9310 |          0.9360 |   0.9311 | 0.0077
 50% 0.025   124 |            20 | 0.9421 to 0.9651     |          0.9493 |   0.9537 |          0.9586 |   0.9540 | 0.0062
 25% 0.013     4 |            20 | 0.2500 to 0.3875     |          0.2875 |   0.3250 |          0.3500 |   0.3181 | 0.0394
 25% 0.013    16 |            20 | 0.5440 to 0.6872     |          0.5986 |   0.6183 |          0.6479 |   0.6181 | 0.0379
 25% 0.013    64 |            20 | 0.8184 to 0.8896     |          0.8313 |   0.8587 |          0.8667 |   0.8542 | 0.0234
 25% 0.013   124 |            20 | 0.9030 to 0.9398     |          0.9173 |   0.9252 |          0.9297 |   0.9241 | 0.0097
  0% 0.000     4 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    16 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000    64 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  0% 0.000   124 |            20 | 0.0000 to 0.0000     |          0.0000 |   0.0000 |          0.0000 |   0.0000 | 0.0000
  ELAPSED TIME: 2:03:28.918359 Simulations complete. Reports and plots generated.
